LOC_PID,LGA_PID,LGA,LOCALITY,State.Region,ABB_NAME,Metro.Region,State,POA_CODE16
VIC1788,VIC204,Mornington Peninsula,Mount Eliza,Greater Metropolitan Melbourne,MORNINGTON PENINSULA,Outer Metropolitan,VIC,3930
VIC1789,VIC217,Pyrenees,Mount Emu,Grampians,PYRENEES,,VIC,3351
VIC179,VIC185,Loddon,Bears Lagoon,Loddon Mallee,LODDON,,VIC,3517
VIC1790,VIC206,Yarra Ranges,Mount Evelyn,Greater Metropolitan Melbourne,YARRA RANGES,Outer Metropolitan,VIC,3796
VIC1791,VIC94,Hepburn,Mount Franklin,Grampians,HEPBURN,,VIC,3461
VIC1792,VIC169,Central Goldfields,Mount Glasgow,Loddon Mallee,CENTRAL GOLDFIELDS,,VIC,3371
VIC1793,VIC241,Ballarat,Mount Helen,Grampians,BALLARAT,,VIC,3350
VIC1794,VIC169,Central Goldfields,Mount Hooghly,Loddon Mallee,CENTRAL GOLDFIELDS,,VIC,3472
VIC1795,VIC217,Pyrenees,Mount Lonarch,Grampians,PYRENEES,,VIC,3468
VIC1796,VIC228,Macedon Ranges,Mount Macedon,Loddon Mallee,MACEDON RANGES,,VIC,3441
VIC1797,VIC93,Greater Shepparton,Mount Major,Hume,GREATER SHEPPARTON,,VIC,3646
VIC1798,VIC204,Mornington Peninsula,Mount Martha,Greater Metropolitan Melbourne,MORNINGTON PENINSULA,Outer Metropolitan,VIC,3934
VIC1799,VIC230,Golden Plains,Mount Mercer,Grampians,GOLDEN PLAINS,,VIC,3352
VIC18,VIC218,Wellington,Alberton,Gippsland,WELLINGTON,,VIC,3971
VIC180,VIC180,Swan Hill,Beauchamp,Loddon Mallee,SWAN HILL,,VIC,3579
VIC180,VIC214,Gannawarra,Beauchamp,Loddon Mallee,GANNAWARRA,,VIC,3579
VIC1800,VIC225,Surf Coast,Mount Moriac,Barwon South West,SURF COAST,,VIC,3240
VIC1801,VIC233,Southern Grampians,Mount Napier,Barwon South West,SOUTHERN GRAMPIANS,,VIC,3301
